songId,artistName
9z_TBiJh_3w,Alonzo
1yuWa2xlipg,"Gaspard Augé"
ZycwZ0H4SlM,Hades
sUEFODY79iw,CFCF
iVAZPsB9ryc,Decoder
I7P_HQL2paQ,Nanisha
QCAPE0JAVqE,"Frankie J"
Ka-to7xmib0,"Il Divo"
R_H5VYKtms8,"Kuldne Trio"
R_H5VYKtms8,Nancy
R_H5VYKtms8,"Must Q"
HeLVFOVHJmA,"Chevelle Franklyn"
dZ5ts9cQ0tc,Rosario
djm3IOVX72c,"Majk Spirit"
djm3IOVX72c,Radikal
djm3IOVX72c,Kaidžas
djm3IOVX72c,Opak
djm3IOVX72c,Stopercent
djm3IOVX72c,DNA
nke_D8qaiOo,Eddie
nke_D8qaiOo,Thoneick
nke_D8qaiOo,"Shawnee Taylor"
yyiaVZxJdvs,Busdriver
0t5dMvw_Ui0,Sting
wKxfjTFEH08,"Tim McIntire"
hdLJTbsgVXQ,"The Order of the Sanguine Diadem"
H2K9HegziKo,"Tech N9ne"
cDtTrY2GFmM,Busdriver
cDtTrY2GFmM,Beans
B1quBTKOqwU,Juvenile
B1quBTKOqwU,Nature
B1quBTKOqwU,"Ja Rule"
B1quBTKOqwU,Reptile
BNOljg4O7t0,Tomiko
eyLZgx4-n7U,"AYUSE KOZUE"
uNkxAwATHq0,"Dizzy Gillespie"
WBmYjpgs_Kc,"Kimara Lovelace"
o3jT7tdzxc8,"Simon Binkenborn"
3Isnzu-rGVc,"Andrew Edge"
TugmhdaBJiI,Asamaan
DLS_Od3cdk4,"Killa Kela"
TyTZJouDMeE,"Bodega Bamz"
45t-ycMfjsU,Nidhogg
4TwmWS4VBcA,DJPP
4pZCC02uw2A,"Sunni Patterson"
Wztufp6HzhA,"Bigg Taj"
163j0SdoZoQ,"Ebony Fay"
srnn8aeRO-I,"Michelle Weeks"
yicr2v2eV9Q,"Kes Loy"
RgcdE-0xCbs,Aimer
d-17OfjnMn4,"Johnny Osbourne"
9zY7u2FbW6k,Rayden
TTxDUv8b8MI,Kurupt
TTxDUv8b8MI,"Jayo Felony"
sQ7eE_vzQhg,"Tiger Rosa"
OW0Yo_ohSvQ,"Olivier Desmet"
1CSKGifR6LM,"Matthew Santos"
geGoma5mqRA,Sonos
S-fk2_nvRlU,"Jimmy Zambrano"
Ab2OXf01Yq0,Kurupt
Ab2OXf01Yq0,"Butch Cassidy"
bz1-LsCoK_A,"Dejan Lapanja"
EUw3QyRHs5I,MJ
_fxl98POXIU,Beyoncé
kMxenBv8gE0,"Ohmega Watts"
